HOG_ID	Node_labels	color	Functional_category	Functional_cat_code	Comprehensive_ID
HOG0000070	NA	gray	Other	2	Atha__AT5G13910, Atha__AT1G28160
HOG0000071	NA	gray	Other	2	Atha__AT5G18560
HOG0000084	NA	NA	NA	4	HOG0000084
HOG0000089	NA	NA	NA	4	HOG0000089
HOG0000091	NA	gray	Other	2	Atha__AT3G16770
HOG0000146	NA	gray	Other	2	Atha__AT5G03150, Atha__AT3G45260, Atha__AT5G60470
HOG0000147	NA	gray	Other	2	Atha__AT1G03840, Atha__AT5G44160
HOG0000153	NA	gray	Other	2	Atha__AT3G50700, Atha__AT5G66730
HOG0000171	NA	gray	Other	2	Atha__AT5G23260
HOG0000180	NA	gray	Other	2	Atha__AT5G13790, Atha__AT3G57390
HOG0000201	NA	gray	Other	2	Atha__AT3G55550
HOG0000204	NA	gray	Other	2	Atha__AT1G15530
HOG0000205	NA	gray	Other	2	Atha__AT4G28350, Atha__AT4G04960
HOG0000217	NA	NA	NA	4	HOG0000217
HOG0000230	NA	gray	Other	2	Atha__AT1G07650
HOG0000255	NA	gray	Other	2	Atha__AT2G21100
HOG0000290	NA	gray	Other	2	Atha__AT3G15040
HOG0000291	NA	gray	Other	2	Atha__AT1G01370
HOG0000310	NA	gray	Other	2	Atha__AT4G18180
HOG0000321	NA	gray	Other	2	Atha__AT3G02000, Atha__AT5G14070
HOG0000331	NA	gray	Other	2	Atha__AT3G54810
HOG0000346	NA	gray	Other	2	Atha__AT1G17970, Atha__AT1G73760
HOG0000406	NA	gray	Other	2	Atha__AT3G28470
HOG0000415	NA	gray	Other	2	Atha__AT2G16720, Atha__AT4G34990, Atha__AT4G38620
HOG0000418	NA	gray	Other	2	Atha__AT4G36470
HOG0000430	NA	gray	Other	2	Atha__AT5G03640, Atha__AT2G36350, Atha__AT3G52890
HOG0000431	NA	gray	Other	2	Atha__AT3G12690, Atha__AT1G16440, Atha__AT1G79250
HOG0000432	NA	gray	Other	2	Atha__AT5G40030
HOG0000434	NA	gray	Other	2	Atha__AT5G47750
HOG0000435	NA	gray	Other	2	Atha__AT4G26610, Atha__AT5G55910, Atha__AT3G27580
HOG0000461	NA	gray	Other	2	Atha__AT1G63910
HOG0000468	NA	gray	Other	2	Atha__AT3G13890
HOG0000469	NA	gray	Other	2	Atha__AT3G12720
HOG0000482	NA	gray	Other	2	Atha__AT3G47950, Atha__AT5G62670
HOG0000506	NA	gray	Other	2	Atha__AT1G20860, Atha__AT1G76430
HOG0000517	NA	NA	NA	4	HOG0000517
HOG0000527	NA	Green	Plastid	3	Atha__AT4G38660
HOG0000534	NA	gray	Other	2	Atha__AT5G57550, Atha__AT4G30270, Atha__AT4G25810, Atha__AT5G57560
HOG0000544	NA	gray	Other	2	Atha__AT5G11950
HOG0000546	NA	NA	NA	4	HOG0000546
HOG0000552	NA	gray	Other	2	Atha__AT1G01250
HOG0000589	NA	gray	Other	2	Atha__AT1G04150
HOG0000590	NA	gray	Other	2	Atha__AT5G48060
HOG0000592	NA	Green	Plastid	3	Atha__AT1G22610
HOG0000594	NA	gray	Other	2	Atha__AT5G12970, Atha__AT1G51570, Atha__AT3G57880
HOG0000598	NA	gray	Other	2	Atha__AT5G18460
HOG0000599	NA	gray	Other	2	Atha__AT5G50150, Atha__AT1G10750, Atha__AT1G70550, Atha__AT1G23340
HOG0000600	NA	gray	Other	2	Atha__AT2G39360, Atha__AT3G46290, Atha__AT5G59700
HOG0000604	NA	gray	Other	2	Atha__AT2G21480, Atha__AT4G39110
HOG0000612	NA	gray	Other	2	Atha__AT2G31160, Atha__AT3G23290
HOG0000614	NA	gray	Other	2	Atha__AT5G58500
HOG0000619	NA	gray	Other	2	Atha__AT3G17450
HOG0000629	NA	gray	Other	2	Atha__AT2G45480
HOG0000635	NA	gray	Other	2	Atha__AT4G39410
HOG0000637	NA	gray	Other	2	Atha__AT2G47260
