GeneA_HOG	GeneB_HOG
HOG0000070	HOG0002445
HOG0000070	HOG0002990
HOG0000070	HOG0007228
HOG0000070	HOG0007755
HOG0000070	HOG0007898
HOG0000070	HOG0009167
HOG0000070	HOG0010375
HOG0000070	HOG0010705
HOG0000070	HOG0011377
HOG0000070	HOG0011514
HOG0000070	HOG0011596
HOG0000070	HOG0011673
HOG0000070	HOG0011677
HOG0000070	HOG0011849
HOG0000070	HOG0011939
HOG0000070	HOG0012179
HOG0000070	HOG0012240
HOG0000070	HOG0012565
HOG0000070	HOG0013314
HOG0000070	HOG0013429
HOG0000070	HOG0013876
HOG0000070	HOG0014032
HOG0000070	HOG0014136
HOG0000070	HOG0014182
HOG0000070	HOG0014214
HOG0000070	HOG0014332
HOG0000070	HOG0014929
HOG0000070	HOG0015397
HOG0000071	HOG0004022
HOG0000071	HOG0012218
HOG0000084	HOG0012941
HOG0000089	HOG0001733
HOG0000089	HOG0006664
HOG0000089	HOG0007885
HOG0000089	HOG0012892
HOG0000089	HOG0014822
HOG0000091	HOG0007785
HOG0000091	HOG0011163
HOG0000091	HOG0012349
HOG0000146	HOG0000736
HOG0000146	HOG0002381
HOG0000146	HOG0002582
HOG0000146	HOG0002811
HOG0000146	HOG0002820
HOG0000146	HOG0003614
HOG0000146	HOG0003931
HOG0000146	HOG0004551
HOG0000146	HOG0004802
HOG0000146	HOG0005871
HOG0000146	HOG0005879
HOG0000146	HOG0006804
HOG0000146	HOG0007187
HOG0000146	HOG0007423
HOG0000146	HOG0007426
HOG0000146	HOG0007695
HOG0000146	HOG0007723
HOG0000146	HOG0008284
HOG0000146	HOG0008347
HOG0000146	HOG0008355
HOG0000146	HOG0008495
HOG0000146	HOG0008563
HOG0000146	HOG0009032
HOG0000146	HOG0009068
HOG0000146	HOG0009125
HOG0000146	HOG0009772
HOG0000146	HOG0010084
HOG0000146	HOG0010102
HOG0000146	HOG0010149
HOG0000146	HOG0010276
HOG0000146	HOG0010510
HOG0000146	HOG0010842
HOG0000146	HOG0010855
HOG0000146	HOG0010897
HOG0000146	HOG0011015
HOG0000146	HOG0011107
HOG0000146	HOG0011400
HOG0000146	HOG0011514
HOG0000146	HOG0011883
HOG0000146	HOG0011884
HOG0000146	HOG0012058
HOG0000146	HOG0012129
HOG0000146	HOG0012314
HOG0000146	HOG0012428
HOG0000146	HOG0012510
HOG0000146	HOG0012562
HOG0000146	HOG0013037
HOG0000146	HOG0013135
HOG0000146	HOG0013158
HOG0000146	HOG0013207
HOG0000146	HOG0013314
HOG0000146	HOG0013465
HOG0000146	HOG0013550
HOG0000146	HOG0013625
HOG0000146	HOG0013876
HOG0000146	HOG0014023
HOG0000146	HOG0014136
HOG0000146	HOG0014589
HOG0000146	HOG0014757
HOG0000146	HOG0015741
HOG0000146	HOG0015897
HOG0000147	HOG0001137
HOG0000147	HOG0002703
HOG0000147	HOG0002862
HOG0000147	HOG0004696
HOG0000147	HOG0005013
HOG0000147	HOG0005481
HOG0000147	HOG0006816
HOG0000147	HOG0007008
HOG0000147	HOG0007308
HOG0000147	HOG0007778
HOG0000147	HOG0007831
HOG0000147	HOG0008080
HOG0000147	HOG0009171
HOG0000147	HOG0009452
HOG0000147	HOG0009514
HOG0000147	HOG0009635
HOG0000147	HOG0009920
HOG0000147	HOG0010178
HOG0000147	HOG0010671
HOG0000147	HOG0010766
HOG0000147	HOG0011069
HOG0000147	HOG0011164
HOG0000147	HOG0011339
HOG0000147	HOG0012351
HOG0000147	HOG0012365
HOG0000147	HOG0014292
HOG0000147	HOG0015023
HOG0000153	HOG0009730
HOG0000153	HOG0011571
HOG0000153	HOG0016017
HOG0000171	HOG0003038
HOG0000180	HOG0005964
HOG0000201	HOG0002154
HOG0000201	HOG0005183
HOG0000201	HOG0005186
HOG0000201	HOG0006762
HOG0000201	HOG0007027
HOG0000201	HOG0007030
HOG0000201	HOG0007644
HOG0000201	HOG0007787
HOG0000201	HOG0007857
HOG0000201	HOG0008843
HOG0000201	HOG0009158
HOG0000201	HOG0009585
HOG0000201	HOG0009602
HOG0000201	HOG0009857
HOG0000201	HOG0011094
HOG0000201	HOG0011220
HOG0000201	HOG0011753
HOG0000204	HOG0002445
HOG0000204	HOG0003166
HOG0000204	HOG0005981
HOG0000204	HOG0008449
HOG0000204	HOG0008495
HOG0000204	HOG0010897
HOG0000204	HOG0011483
HOG0000204	HOG0012410
HOG0000204	HOG0012955
HOG0000204	HOG0012980
HOG0000204	HOG0014748
HOG0000204	HOG0015000
HOG0000204	HOG0016681
HOG0000205	HOG0014501
HOG0000205	HOG0015140
HOG0000217	HOG0002208
HOG0000230	HOG0005953
HOG0000255	HOG0013225
HOG0000290	HOG0008094
HOG0000291	HOG0008522
HOG0000310	HOG0015006
HOG0000321	HOG0015648
HOG0000331	HOG0008012
HOG0000331	HOG0010847
HOG0000346	HOG0000742
HOG0000346	HOG0001124
HOG0000346	HOG0003757
HOG0000346	HOG0004113
HOG0000346	HOG0004123
HOG0000346	HOG0004478
HOG0000346	HOG0004795
HOG0000346	HOG0005065
HOG0000346	HOG0005541
HOG0000346	HOG0005630
HOG0000346	HOG0005943
HOG0000346	HOG0006038
HOG0000346	HOG0006498
HOG0000346	HOG0006664
HOG0000346	HOG0007328
HOG0000346	HOG0007813
HOG0000346	HOG0008297
HOG0000346	HOG0009633
HOG0000346	HOG0010703
HOG0000346	HOG0010793
HOG0000346	HOG0010970
HOG0000346	HOG0011668
HOG0000346	HOG0011939
HOG0000346	HOG0012121
HOG0000346	HOG0012787
HOG0000346	HOG0013142
HOG0000346	HOG0013351
HOG0000346	HOG0013676
HOG0000346	HOG0014130
HOG0000346	HOG0015244
HOG0000346	HOG0016042
HOG0000346	HOG0016672
HOG0000346	HOG0017254
HOG0000406	HOG0005838
HOG0000406	HOG0010116
HOG0000406	HOG0014303
HOG0000415	HOG0006164
HOG0000418	HOG0001778
HOG0000418	HOG0002806
HOG0000418	HOG0003207
HOG0000418	HOG0004551
HOG0000418	HOG0006049
HOG0000418	HOG0006804
HOG0000418	HOG0007423
HOG0000418	HOG0007475
HOG0000418	HOG0007695
HOG0000418	HOG0008284
HOG0000418	HOG0008355
HOG0000418	HOG0009032
HOG0000418	HOG0009461
HOG0000418	HOG0010300
HOG0000418	HOG0010347
HOG0000418	HOG0010510
HOG0000418	HOG0011047
HOG0000418	HOG0011514
HOG0000418	HOG0011782
HOG0000418	HOG0011872
HOG0000418	HOG0012937
HOG0000418	HOG0013135
HOG0000418	HOG0013314
HOG0000418	HOG0013513
HOG0000418	HOG0013595
HOG0000418	HOG0014136
HOG0000418	HOG0014303
HOG0000418	HOG0014683
HOG0000418	HOG0014842
HOG0000418	HOG0014919
HOG0000418	HOG0015685
HOG0000430	HOG0008951
HOG0000431	HOG0004286
HOG0000431	HOG0010284
HOG0000431	HOG0013106
HOG0000431	HOG0013705
HOG0000432	HOG0004034
HOG0000434	HOG0006163
HOG0000434	HOG0006366
HOG0000434	HOG0006441
HOG0000434	HOG0006933
HOG0000434	HOG0008889
HOG0000434	HOG0009464
HOG0000434	HOG0015754
HOG0000435	HOG0004648
HOG0000435	HOG0007894
HOG0000435	HOG0008866
HOG0000435	HOG0009171
HOG0000435	HOG0010082
HOG0000435	HOG0010373
HOG0000435	HOG0013549
HOG0000461	HOG0011605
HOG0000461	HOG0013081
HOG0000461	HOG0013214
HOG0000468	HOG0010934
HOG0000469	HOG0000989
HOG0000469	HOG0002283
HOG0000469	HOG0002498
HOG0000469	HOG0004286
HOG0000469	HOG0005667
HOG0000469	HOG0006082
HOG0000469	HOG0006829
HOG0000469	HOG0006963
HOG0000469	HOG0007234
HOG0000469	HOG0008314
HOG0000469	HOG0008332
HOG0000469	HOG0008368
HOG0000469	HOG0008650
HOG0000469	HOG0008777
HOG0000469	HOG0008805
HOG0000469	HOG0008887
HOG0000469	HOG0008941
HOG0000469	HOG0009439
HOG0000469	HOG0009695
HOG0000469	HOG0010206
HOG0000469	HOG0010402
HOG0000469	HOG0010690
HOG0000469	HOG0010750
HOG0000469	HOG0011677
HOG0000469	HOG0012657
HOG0000469	HOG0013521
HOG0000469	HOG0013652
HOG0000469	HOG0013953
HOG0000469	HOG0015068
HOG0000482	HOG0013271
HOG0000506	HOG0001498
HOG0000506	HOG0002244
HOG0000506	HOG0003739
HOG0000506	HOG0005186
HOG0000506	HOG0005199
HOG0000506	HOG0005710
HOG0000506	HOG0006011
HOG0000506	HOG0006748
HOG0000506	HOG0007754
HOG0000506	HOG0007922
HOG0000506	HOG0008030
HOG0000506	HOG0008361
HOG0000506	HOG0008423
HOG0000506	HOG0008943
HOG0000506	HOG0009190
HOG0000506	HOG0009345
HOG0000506	HOG0009453
HOG0000506	HOG0009602
HOG0000506	HOG0009710
HOG0000506	HOG0009765
HOG0000506	HOG0010487
HOG0000506	HOG0010822
HOG0000506	HOG0010897
HOG0000506	HOG0011602
HOG0000506	HOG0012157
HOG0000506	HOG0012494
HOG0000506	HOG0013105
HOG0000506	HOG0013646
HOG0000506	HOG0014037
HOG0000506	HOG0014571
HOG0000506	HOG0015644
HOG0000506	HOG0015752
HOG0000517	HOG0007161
HOG0000527	HOG0001648
HOG0000527	HOG0004305
HOG0000527	HOG0008284
HOG0000527	HOG0009461
HOG0000527	HOG0010433
HOG0000527	HOG0012623
HOG0000527	HOG0015745
HOG0000534	HOG0008784
HOG0000534	HOG0011087
HOG0000544	HOG0005008
HOG0000546	HOG0002029
HOG0000552	HOG0007179
HOG0000552	HOG0007984
HOG0000552	HOG0009658
HOG0000552	HOG0011111
